Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Boyd Gordon,20142015,EDM,27,0,1,5,1,2,4,3,3,4
Ben Scrivens,20142015,EDM,30,0,0,0,0,0,1,7,31,84
Nikita Nikitin,20142015,EDM,86,0,0,4,0,3,3,2,5,14
Jordan Eberle,20142015,EDM,14,1,5,18,9,16,14,3,5,15
Justin Schultz,20142015,EDM,19,0,1,5,0,14,11,5,17,41
Benoit Pouliot,20142015,EDM,67,1,3,15,2,9,4,2,8,9
Ryan Nugent-Hopkins,20142015,EDM,93,3,8,13,3,12,17,2,6,18
Nail Yakupov,20142015,EDM,10,1,2,11,4,8,7,0,6,11
Leon Draisaitl,20142015,EDM,29,0,0,2,1,5,1,0,1,5
EDM,59,0,0,1,0,1,0,0,0,2
Teddy Purcell,20142015,EDM,16,0,5,7,3,13,6,2,6,13
David Perron,20142015,EDM,57,0,1,4,0,8,6,0,2,3
Mark Fayne,20142015,EDM,5,0,0,2,0,1,5,2,8,14
Andrew Ference,20142015,EDM,21,0,0,3,0,0,11,3,13,14
Jacob Trouba,20142015,WPG,8,0,0,7,4,4,7,5,9,26
Andrew Ladd,20142015,WPG,16,0,2,22,4,20,14,5,5,16
Blake Wheeler,20142015,WPG,26,2,4,20,2,22,11,3,7,23
Ondrej Pavelec,20142015,WPG,31,0,0,0,0,0,0,9,20,81
Mark Scheifele,20142015,WPG,55,1,2,12,3,12,19,6,12,15
Shane Doan,20142015,ARI,19,1,0,13,1,15,6,6,6,17
Oliver Ekman-Larsson,20142015,ARI,23,1,2,20,2,11,7,8,10,30
Mike Smith,20142015,ARI,41,0,0,0,0,0,1,8,17,81
Antoine Vermette,20142015,ARI,50,1,2,10,2,12,8,3,1,16
Mikkel Boedker,20142015,ARI,89,1,0,13,1,5,8,1,3,10
Dustin Byfuglien,20142015,WPG,33,4,4,10,2,6,19,1,10,30
Toby Enstrom,20142015,WPG,39,0,1,3,1,10,8,4,13,30
Zach Bogosian,20142015,WPG,44,0,0,3,0,5,5,1,4,12
Henrik Samuelsson,20142015,Martin Erat,20142015,ARI,10,0,0,9,0,14,9,0,2,19
Martin Hanzal,20142015,ARI,11,1,1,6,1,9,6,2,1,8
David Moss,20142015,ARI,18,0,1,3,1,4,3,1,2,3
Jim Slater,20142015,WPG,19,1,0,4,1,5,2,1,2,3
Tye McGinn,20142015,Chris Summers,20142015,ARI,20,0,0,1,0,3,1,0,1,1
Bryan Little,20142015,WPG,18,0,6,18,3,12,13,4,1,14
Michael Frolik,20142015,WPG,67,4,5,10,3,8,12,2,6,13
Rob Klinkhammer,20142015,Mark Arcobello,20142015,ARI,36,2,1,9,0,3,4,1,0,6
Paul Postma,20142015,WPG,4,1,0,1,0,1,3,3,4,12
Joe Vitale,20142015,ARI,14,0,0,3,1,3,2,0,0,2
B.J. Crombeen,20142015,ARI,44,0,1,2,0,1,2,1,1,3
Chris Thorburn,20142015,WPG,22,0,0,7,0,2,5,1,2,4
Mathieu Perreault,20142015,WPG,85,0,4,14,4,14,5,2,4,9
Michael Stone,20142015,ARI,26,0,0,3,1,9,5,5,1,25
Lauri Korpikoski,20142015,ARI,28,0,1,5,2,6,7,0,0,7
