Name,Year,Team,Number,NonAssistGoal,1stAssistGoal,2ndAssistGoal,1stAssist,2ndAssisted1stAssist,2ndAssist,NonAssistPlayers,1stAssistPlayers,2ndAssistPlayers
Niklas Backstrom,20142015,MIN,32,0,0,0,0,0,0,0,0,11
Mike Richards,20142015,L.A,10,0,0,1,0,1,1,0,0,0
Slava Voynov,20142015,L.A,26,0,0,0,0,0,1,0,0,0
Tyler Toffoli,20142015,L.A,73,0,0,3,0,1,1,0,1,2
Jeff Carter,20142015,L.A,77,0,0,9,1,2,2,0,1,13
Kris Russell,20142015,CGY,4,0,0,1,0,4,9,0,1,9
Dennis Wideman,20142015,CGY,6,0,0,6,1,6,8,0,0,12
Johnny Gaudreau,20142015,CGY,13,0,0,7,0,8,4,0,1,10
Mason Raymond,20142015,CGY,21,0,0,0,0,0,1,0,0,4
Ondrej Pavelec,20142015,WPG,31,0,0,0,0,0,0,2,2,22
Toby Enstrom,20142015,WPG,39,0,0,1,1,4,1,0,0,5
Zach Bogosian,20142015,WPG,44,0,0,0,0,1,0,0,0,1
Mark Scheifele,20142015,WPG,55,1,0,2,0,4,6,2,1,5
Barret Jackman,20142015,STL,5,0,0,0,0,0,0,0,0,0
Jakob Silfverberg,20142015,ANA,33,0,0,2,0,2,0,0,0,2
William Karlsson,20142015,ANA,38,0,0,0,1,0,0,0,0,2
Corey Perry,20142015,ANA,10,0,0,3,0,2,1,0,1,6
Lee Stempniak,20142015,NYR,12,0,0,0,0,0,0,1,0,1
Tanner Glass,20142015,NYR,15,0,0,0,0,0,0,0,0,0
Tim Sestito,20142015,N.J,12,0,0,0,0,2,2,0,0,1
Ryane Clowe,20142015,N.J,29,0,0,0,0,0,0,0,0,3
Chris Kreider,20142015,NYR,20,2,1,4,0,0,1,1,0,3
Martin St. Louis,20142015,NYR,26,0,0,5,0,5,3,0,0,7
Rick Nash,20142015,NYR,61,1,0,6,0,4,2,0,1,12
Oscar Lindberg,20142015,NYR,24,0,0,0,0,0,0,0,0,2
Mats Zuccarello,20142015,NYR,36,0,0,0,1,2,2,3,0,5
Sam Gagner,20142015,ARI,9,0,1,5,0,5,1,0,0,9
Martin Erat,20142015,ARI,10,0,0,3,0,1,2,0,0,7
Chris Terry,20142015,CAR,25,0,0,3,0,0,1,0,0,2
TJ Galiardi,20142015,WPG,21,0,0,0,0,0,0,0,0,0
Antti Raanta,20142015,CHI,31,0,0,0,0,0,0,0,0,7
Colton Sceviour,20142015,DAL,22,0,0,0,0,0,4,0,1,4
Kevin Connauton,20142015,DAL,23,0,0,0,0,0,0,0,0,1
Erik Cole,20142015,DAL,72,0,0,2,0,4,0,0,0,1
Erik Johnson,20142015,COL,6,0,0,3,0,2,1,0,0,4
Matt Duchene,20142015,COL,9,0,0,2,0,1,3,0,0,4
Jonathan Huberdeau,20142015,FLA,11,0,0,0,0,8,4,0,0,7
