,index_x,season,TOT,age_x,games_played,pen_min,plus_minus,goals_ev,goals_pp,goals_sh,goals_gw,assists_ev,assists_pp,assists_sh,shot_pct,shots_attempted,shot_pct.1,shots_attempted.1,time_on_ice_avg,hits,blocks,takeaways,giveaways,name,index_y,age_y,corsi_for,corsi_against,corsi_pct,corsi_rel_pct,fenwick_for,fenwick_against,fenwick_pct,fenwick_rel_pct,on_ice_shot_pct,on_ice_sv_pct,pdo,zs_offense_pct,zs_defense_pct,uniqueseason
115,14,2011-12,BOS,34.0,79.0,86.0,33.0,4.0,8.0,0.0,0.0,29.0,10.0,1.0,5.4,437.0,5.4,437.0,25.00,166.0,87.0,28.0,68.0,charazd01,5.0,34.0,1745.0,1276.0,57.8,4.4,1277.0,957.0,57.2,4.2,9.4,92.0,101.0,49.0,51.0,1
116,15,2012-13,BOS,35.0,48.0,70.0,14.0,4.0,3.0,0.0,2.0,10.0,1.0,1.0,5.9,248.0,5.9,248.0,24.56,101.0,64.0,12.0,34.0,charazd01,6.0,35.0,991.0,782.0,55.9,0.6,751.0,595.0,55.8,1.6,8.4,93.3,101.0,45.0,55.0,1
117,16,2013-14,BOS,36.0,77.0,66.0,25.0,7.0,10.0,0.0,3.0,17.0,5.0,1.0,10.1,341.0,10.1,341.0,24.39,163.0,104.0,20.0,62.0,charazd01,7.0,36.0,1465.0,1202.0,54.9,1.4,1096.0,893.0,55.1,2.3,8.6,93.6,102.0,47.8,52.2,1
118,17,2014-15,BOS,37.0,63.0,42.0,0.0,4.0,4.0,0.0,0.0,8.0,1.0,3.0,5.8,254.0,5.8,254.0,23.21,125.0,99.0,14.0,55.0,charazd01,8.0,37.0,1173.0,1007.0,53.8,2.6,853.0,782.0,52.2,1.4,6.9,91.8,98.7,45.9,54.1,1
119,18,2015-16,BOS,38.0,80.0,71.0,12.0,8.0,1.0,0.0,3.0,17.0,9.0,2.0,5.7,312.0,5.7,312.0,24.06,134.0,123.0,23.0,87.0,charazd01,9.0,38.0,1424.0,1474.0,49.1,-0.8,1074.0,1118.0,49.0,-1.3,8.5,92.2,100.0,43.9,56.1,1
120,19,2016-17,BOS,39.0,19.0,19.0,12.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,3.7,61.0,3.7,61.0,22.41,30.0,41.0,11.0,17.0,charazd01,10.0,39.0,344.0,321.0,51.7,-3.4,258.0,230.0,52.9,-2.6,10.0,94.3,104.0,46.9,53.1,1
129,9,2007-08,COL,31.0,57.0,33.0,5.0,4.0,1.0,0.0,0.0,11.0,5.0,0.0,5.7,165.0,5.7,165.0,23.09,70.0,143.0,23.0,30.0,clarkbr01,1.0,31.0,765.0,862.0,47.0,-4.7,605.0,639.0,48.6,-4.2,9.8,90.9,100.0,45.9,54.1,1
130,10,2008-09,COL,32.0,76.0,32.0,-16.0,2.0,0.0,0.0,1.0,8.0,2.0,0.0,2.1,219.0,2.1,219.0,22.20,73.0,238.0,26.0,41.0,clarkbr01,2.0,32.0,1055.0,1268.0,45.4,-4.1,815.0,878.0,48.1,-1.5,7.3,90.5,97.8,43.1,56.9,1
131,11,2009-10,COL,33.0,64.0,28.0,6.0,1.0,2.0,0.0,1.0,12.0,5.0,0.0,4.0,161.0,4.0,161.0,19.08,55.0,162.0,20.0,28.0,clarkbr01,3.0,33.0,762.0,901.0,45.8,1.5,578.0,623.0,48.1,2.7,8.9,92.4,101.0,52.4,47.6,1
132,12,2010-11,TBL,34.0,82.0,14.0,2.0,3.0,6.0,0.0,1.0,11.0,11.0,0.0,10.3,209.0,10.3,209.0,18.53,117.0,157.0,20.0,48.0,clarkbr01,4.0,34.0,1170.0,1050.0,52.7,1.8,885.0,727.0,54.9,2.8,7.7,92.1,99.8,46.7,53.3,1
