"","name","season","TOT","X.x","age.x","games_played","pen_min","plus_minus","goals_ev","goals_pp","goals_sh","goals_gw","assists_ev","assists_pp","assists_sh","shot_pct","shots_attempted","shot_pct.1","shots_attempted.1","time_on_ice_avg","hits","blocks","takeaways","giveaways","X.y","age.y","corsi_for","corsi_against","corsi_pct","corsi_rel_pct","fenwick_for","fenwick_against","fenwick_pct","fenwick_rel_pct","on_ice_shot_pct","on_ice_sv_pct","pdo","zs_offense_pct","zs_defense_pct"
"64","clarkbr01","2001-02","TBL",5,35,2,0,"-3",0,0,0,0,0,0,0,"</td",NA,"</td",NA,"15:32",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"65","clarkbr01","2003-04","MIN",6,36,12,6,"3",1,0,0,0,1,0,0,"7.1",NA,"7.1",NA,"10:26",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"66","cullema01","1997-98","CAR",1,31,61,23,"-4",4,2,0,0,17,4,0,"8.0",NA,"8.0",NA,"</td>",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"67","cullema01","1998-99","CAR",2,32,75,47,"-12",5,5,1,1,12,2,0,"9.8",NA,"9.8",NA,"15:31",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","cullema01","1999-00","TOT",3,33,80,24,"5",12,1,0,1,18,7,1,"9.5",NA,"9.5",NA,"16:54",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"69","cullema01","2000-01","CAR",4,33,82,38,"-23",6,4,0,1,19,11,0,"6.3",NA,"6.3",NA,"18:15",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"70","cullema01","2001-02","OTT",5,33,79,24,"-1",14,3,1,4,21,8,1,"11.0",NA,"11.0",NA,"17:01",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"71","cullema01","2002-03","MIN",6,34,80,34,"-8",9,3,1,2,12,7,1,"9.9",NA,"9.9",NA,"14:28",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"72","cullema01","2002-03","MIN",7,35,50,12,"-4",6,1,0,1,8,6,0,"9.1",NA,"9.1",NA,"14:18",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","cullema01","2002-03","MIN",8,36,30,22,"-4",3,2,1,1,4,1,1,"11.1",NA,"11.1",NA,"14:43",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"74","cullema01","2003-04","NSH",9,37,56,24,"-2",5,1,0,2,10,1,2,"8.0",NA,"8.0",NA,"14:12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
