,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
126,EDM,24.0,24.0,31.0,8.0,0.0,50.0,1234.0,1362.0,52.5,5.2,909.0,992.0,52.2,5.5,82.0,73.0,22.0,6.0,4.0,0.0,82.0,hallta02,8.9,90.2,99.0,54.0,-4.0,2015-16,9.1,9.1,474.0,474.0,64.0,19.12,1,45.6,54.4
133,CGY,24.0,24.0,1.0,0.0,0.0,2.0,38.0,49.0,56.3,7.2,31.0,37.0,54.4,8.8,4.0,2.0,0.0,0.0,0.0,1.0,8.0,hamilfr01,3.6,96.3,99.9,0.0,1.0,2015-16,14.3,14.3,10.0,10.0,1.0,12.42,1,56.5,43.5
142,FLA,24.0,24.0,5.0,0.0,0.0,10.0,479.0,410.0,46.1,-3.4,376.0,327.0,46.5,-3.3,58.0,7.0,6.0,0.0,0.0,0.0,116.0,howdequ01,7.1,93.5,100.0,18.0,-1.0,2015-16,11.1,11.1,82.0,82.0,9.0,10.22,1,49.8,50.2
145,TOR,24.0,24.0,4.0,0.0,0.0,16.0,320.0,335.0,51.1,1.5,227.0,253.0,52.7,4.1,23.0,5.0,3.0,1.0,0.0,0.0,34.0,hymanza01,6.5,91.6,98.1,10.0,-2.0,2016-17,6.0,6.0,74.0,74.0,18.0,16.21,1,35.6,64.4
148,NSH,24.0,24.0,13.0,1.0,0.0,24.0,954.0,1011.0,51.5,-1.0,704.0,782.0,52.6,-1.0,81.0,19.0,12.0,4.0,3.0,1.0,35.0,jarnkca01,7.8,90.9,98.7,14.0,1.0,2015-16,12.8,12.8,193.0,193.0,32.0,16.08,1,47.5,52.5
157,NSH,24.0,24.0,6.0,5.0,0.0,6.0,296.0,349.0,54.1,4.7,225.0,262.0,53.8,5.1,22.0,10.0,2.0,3.0,3.0,0.0,22.0,johanry01,8.1,93.5,101.0,14.0,4.0,2016-17,9.6,9.6,92.0,92.0,11.0,18.28,1,45.6,54.4
159,DAL,24.0,24.0,2.0,0.0,0.0,34.0,260.0,229.0,46.8,-2.0,171.0,168.0,49.6,0.8,17.0,12.0,2.0,1.0,0.0,0.0,49.0,johnsst03,9.6,86.8,96.4,10.0,-4.0,2016-17,11.1,11.1,45.0,45.0,4.0,19.02,1,64.1,35.9
162,DAL,24.0,24.0,4.0,5.0,0.0,30.0,430.0,374.0,46.5,-0.9,316.0,272.0,46.3,-2.8,22.0,24.0,2.0,0.0,0.0,0.0,12.0,klingjo01,8.2,90.7,98.9,12.0,-8.0,2016-17,7.7,7.7,79.0,79.0,6.0,22.4,1,57.5,42.5
163,PIT,24.0,24.0,10.0,0.0,0.0,32.0,429.0,380.0,47.0,-10.0,317.0,290.0,47.8,-9.7,42.0,6.0,3.0,1.0,0.0,2.0,57.0,kuhnhto01,8.2,92.5,100.0,24.0,3.0,2015-16,9.6,9.6,79.0,79.0,5.0,12.12,1,67.5,32.5
168,WSH,24.0,24.0,5.0,1.0,0.0,5.0,282.0,293.0,51.0,-1.4,215.0,210.0,49.4,-1.7,21.0,15.0,3.0,0.0,0.0,0.0,12.0,kuzneev01,10.8,92.9,103.0,10.0,5.0,2016-17,9.1,9.1,74.0,74.0,9.0,17.1,1,38.5,61.5
