,TOT,age_x,age_y,assists_ev,assists_pp,assists_sh,blocks,corsi_against,corsi_for,corsi_pct,corsi_rel_pct,fenwick_against,fenwick_for,fenwick_pct,fenwick_rel_pct,games_played,giveaways,goals_ev,goals_gw,goals_pp,goals_sh,hits,index_x,index_y,name,on_ice_shot_pct,on_ice_sv_pct,pdo,pen_min,plus_minus,season,shot_pct,shot_pct.1,shots_attempted,shots_attempted.1,takeaways,time_on_ice_avg,uniqueseason,zs_defense_pct,zs_offense_pct
466,CBJ,27.0,27.0,13.0,0.0,0.0,72.0,936.0,914.0,49.4,-5.7,692.0,669.0,49.2,-5.8,66.0,21.0,2.0,1.0,0.0,0.0,84.0,,,nikitni01,8.6,93.6,102.0,20.0,9.0,2013-14,2.1,2.1,197.0,197.0,13.0,17.07,1,50.7,49.3
471,TBL,27.0,27.0,2.0,0.0,0.0,1.0,65.0,66.0,50.4,1.8,55.0,52.0,48.6,-1.0,6.0,6.0,0.0,0.0,1.0,0.0,5.0,,,niskaja01,5.9,95.7,101.0,6.0,0.0,2008-09,10.0,10.0,18.0,18.0,1.0,13.42,1,36.1,63.9
505,WSH,27.0,27.0,13.0,11.0,0.0,18.0,794.0,760.0,48.9,-0.6,584.0,544.0,48.2,-1.6,48.0,25.0,16.0,4.0,16.0,0.0,120.0,,,ovechal01,10.8,91.5,102.0,36.0,2.0,2012-13,14.5,14.5,441.0,441.0,30.0,20.53,1,45.0,55.0
513,DAL,27.0,27.0,3.0,0.0,0.0,49.0,530.0,512.0,49.1,-2.8,395.0,380.0,49.0,-2.3,36.0,9.0,0.0,0.0,0.0,0.0,39.0,,,pardyad01,7.6,90.9,98.5,16.0,-5.0,2011-12,0.0,0.0,56.0,56.0,9.0,16.28,1,48.7,51.3
522,LAK,27.0,27.0,0.0,0.0,0.0,4.0,89.0,74.0,45.4,-6.7,69.0,56.0,44.8,-10.0,9.0,2.0,1.0,0.0,1.0,0.0,7.0,,,parsesc01,5.0,97.8,102.0,14.0,1.0,2011-12,22.2,22.2,13.0,13.0,3.0,11.17,1,46.4,53.6
526,EDM,27.0,27.0,4.0,0.0,1.0,47.0,521.0,330.0,38.8,-9.7,354.0,240.0,40.4,-9.5,60.0,21.0,3.0,0.0,0.0,1.0,122.0,,,petrele01,5.0,91.6,96.6,45.0,-10.0,2011-12,11.1,11.1,76.0,76.0,20.0,9.38,1,52.2,47.8
542,STL,27.0,27.0,9.0,0.0,0.0,131.0,921.0,906.0,49.6,-6.6,651.0,682.0,51.2,-4.0,72.0,11.0,4.0,0.0,0.0,0.0,151.0,,,polakro01,8.1,92.0,100.0,71.0,3.0,2013-14,4.8,4.8,161.0,161.0,10.0,17.2,1,54.0,46.0
555,BUF,27.0,27.0,1.0,0.0,0.0,4.0,116.0,82.0,41.4,-2.4,85.0,57.0,40.1,-2.4,12.0,1.0,0.0,0.0,0.0,0.0,24.0,,,porteke01,2.5,90.0,92.5,2.0,-5.0,2013-14,0.0,0.0,11.0,11.0,5.0,11.38,1,50.8,49.2
565,NYR,27.0,27.0,12.0,0.0,0.0,51.0,754.0,601.0,44.4,-6.5,520.0,443.0,46.0,-7.1,82.0,23.0,3.0,2.0,0.0,2.0,144.0,,,prustbr01,8.0,92.3,100.0,156.0,-1.0,2011-12,7.4,7.4,108.0,108.0,15.0,11.57,1,66.9,33.1
587,TOT,27.0,27.0,4.0,1.0,2.0,19.0,537.0,593.0,52.5,1.0,390.0,439.0,53.0,2.4,61.0,10.0,4.0,0.0,0.0,0.0,43.0,,,reginpe01,5.2,91.8,96.9,20.0,-5.0,2013-14,5.8,5.8,120.0,120.0,21.0,11.26,1,53.0,47.0
595,TOT,27.0,27.0,2.0,0.0,0.0,3.0,342.0,352.0,50.7,0.9,260.0,253.0,49.3,-1.0,34.0,3.0,2.0,0.0,0.0,0.0,12.0,,,santomi01,3.7,90.6,94.2,2.0,-12.0,2012-13,5.7,5.7,83.0,83.0,6.0,11.52,1,48.8,51.2
629,CAR,27.0,27.0,22.0,11.0,0.0,127.0,1338.0,1409.0,51.3,-0.7,1039.0,1051.0,50.3,-0.8,74.0,38.0,6.0,1.0,4.0,1.0,54.0,,,sekeran01,9.6,91.4,101.0,20.0,4.0,2013-14,7.7,7.7,310.0,310.0,68.0,23.41,1,48.2,51.8
642,TOT,27.0,27.0,6.0,0.0,0.0,168.0,1171.0,845.0,41.9,-7.5,791.0,627.0,44.2,-5.5,73.0,38.0,2.0,0.0,0.0,0.0,193.0,,,smidla01,7.9,91.5,99.3,78.0,-10.0,2013-14,4.9,4.9,86.0,86.0,13.0,18.08,1,55.6,44.4
647,BOS,27.0,27.0,2.0,0.0,0.0,3.0,63.0,56.0,47.1,-16.0,47.0,43.0,47.8,-16.0,6.0,3.0,0.0,0.0,0.0,0.0,3.0,,,soderca01,10.3,84.4,94.7,6.0,-2.0,2012-13,0.0,0.0,10.0,10.0,2.0,14.44,1,55.3,44.7
658,BUF,27.0,27.0,9.0,3.0,0.0,9.0,589.0,509.0,46.4,0.7,462.0,372.0,44.6,-0.7,46.0,19.0,6.0,0.0,0.0,0.0,46.0,,,staffdr01,6.5,90.4,96.9,21.0,-16.0,2012-13,5.0,5.0,186.0,186.0,21.0,17.01,1,45.1,54.9
671,MIN,27.0,27.0,9.0,0.0,1.0,57.0,701.0,628.0,47.3,-4.8,520.0,459.0,46.9,-6.0,48.0,21.0,0.0,0.0,0.0,0.0,87.0,,,stonecl01,8.4,92.7,101.0,42.0,0.0,2012-13,0.0,0.0,93.0,93.0,12.0,18.13,1,53.4,46.6
702,TOT,27.0,27.0,17.0,7.0,0.0,23.0,790.0,948.0,54.5,0.1,612.0,698.0,53.3,-2.1,81.0,20.0,11.0,1.0,1.0,0.0,29.0,,,verstkr01,8.8,90.5,99.3,36.0,0.0,2013-14,7.6,7.6,270.0,270.0,37.0,14.28,1,37.9,62.1
722,WPG,27.0,27.0,30.0,11.0,0.0,68.0,1203.0,1234.0,50.6,-1.9,872.0,907.0,51.0,-1.6,82.0,32.0,20.0,4.0,8.0,0.0,150.0,,,wheelbl01,9.0,91.6,100.0,63.0,4.0,2013-14,12.4,12.4,408.0,408.0,36.0,18.41,1,44.6,55.4
729,NSH,27.0,27.0,0.0,0.0,0.0,1.0,35.0,25.0,41.7,-8.8,27.0,19.0,41.3,-8.4,5.0,3.0,0.0,0.0,0.0,0.0,7.0,,,wilsoky01,7.7,89.5,97.2,0.0,-1.0,2011-12,0.0,0.0,4.0,4.0,1.0,8.09,1,40.9,59.1
737,ANA,27.0,27.0,13.0,0.0,0.0,37.0,586.0,568.0,49.2,1.0,423.0,418.0,49.7,0.6,48.0,10.0,6.0,1.0,0.0,0.0,63.0,,,winnida01,8.9,94.3,103.0,16.0,13.0,2012-13,6.3,6.3,148.0,148.0,24.0,16.5,1,58.8,41.2
